"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MAM00067152","RANOHIRA, MA","2017-01-03","7.9","24.3","30.0","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-04","11.9","21.6","29.9","18.0"
"MAM00067152","RANOHIRA, MA","2017-01-05","2.0","22.4","28.0","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-06","11.9","22.8","28.0","19.4"
"MAM00067152","RANOHIRA, MA","2017-01-07","13.0","23.5","28.2","19.0"
"MAM00067152","RANOHIRA, MA","2017-01-08","0.5","24.5","29.9","20.4"
"MAM00067152","RANOHIRA, MA","2017-01-09","0.5","23.6","29.9","20.5"
"MAM00067152","RANOHIRA, MA","2017-01-10","17.0","24.7",,"19.8"
"MAM00067152","RANOHIRA, MA","2017-01-11","6.1","25.4","30.0","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-12","0.0","26.1","30.2","19.8"
"MAM00067152","RANOHIRA, MA","2017-01-13",,"24.7","30.5",
"MAM00067152","RANOHIRA, MA","2017-01-14",,"23.6","30.5","19.5"
"MAM00067152","RANOHIRA, MA","2017-01-15",,"25.8","30.9","21.0"
"MAM00067152","RANOHIRA, MA","2017-01-16",,"26.2","31.2","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-17","2.0","26.3","31.2","21.0"
"MAM00067152","RANOHIRA, MA","2017-01-18","0.0","24.9","31.0","20.8"
"MAM00067152","RANOHIRA, MA","2017-01-19","7.1","26.2","31.0","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-20","0.0","25.6",,"20.0"
"MAM00067152","RANOHIRA, MA","2017-01-21","0.0","24.3","31.4","21.1"
"MAM00067152","RANOHIRA, MA","2017-01-22","0.8","26.1","31.2","19.3"
"MAM00067152","RANOHIRA, MA","2017-01-23","0.0","24.1","31.2","19.0"
"MAM00067152","RANOHIRA, MA","2017-01-24",,"29.5","32.2","19.2"
"MAM00067152","RANOHIRA, MA","2017-01-25",,"24.6","32.2","20.0"
"MAM00067152","RANOHIRA, MA","2017-01-30","4.1","28.2",,
"MAM00067152","RANOHIRA, MA","2017-02-09","2.0","24.2","32.8","21.7"
"MAM00067152","RANOHIRA, MA","2017-02-12","65.0","22.6","30.6","20.0"
"MAM00067152","RANOHIRA, MA","2017-02-13","24.9","22.6","28.3","19.6"
"MAM00067152","RANOHIRA, MA","2017-02-14","0.0","24.5",,"21.0"
"MAM00067152","RANOHIRA, MA","2017-02-15","1.0","23.1",,"19.8"
"MAM00067152","RANOHIRA, MA","2017-02-16","0.0","26.6",,
"MAM00067152","RANOHIRA, MA","2017-02-17","6.1","23.7","31.9",
"MAM00067152","RANOHIRA, MA","2017-02-19",,"23.6",,"18.4"
"MAM00067152","RANOHIRA, MA","2017-02-20",,"21.3","27.4","18.2"
"MAM00067152","RANOHIRA, MA","2017-02-21",,"23.8","29.4","18.0"
"MAM00067152","RANOHIRA, MA","2017-02-22","1.0","25.3","29.4","20.0"
"MAM00067152","RANOHIRA, MA","2017-02-23","5.1","25.0","30.3","20.3"
"MAM00067152","RANOHIRA, MA","2017-02-24","13.0","26.0","30.6","20.0"
"MAM00067152","RANOHIRA, MA","2017-02-25","0.0","22.8","30.6","20.2"
"MAM00067152","RANOHIRA, MA","2017-02-26",,"24.4","30.2","20.0"
"MAM00067152","RANOHIRA, MA","2017-02-27","4.1","24.6","30.0","19.0"
"MAM00067152","RANOHIRA, MA","2017-02-28","0.0","24.7","31.3","21.0"
"MAM00067152","RANOHIRA, MA","2017-03-01","15.0","24.1","31.0","20.7"
"MAM00067152","RANOHIRA, MA","2017-03-02","25.9","27.7",,"19.0"
"MAM00067152","RANOHIRA, MA","2017-03-03","0.0","24.2",,"20.1"
"MAM00067152","RANOHIRA, MA","2017-03-04","38.1","25.1","31.6","19.4"
"MAM00067152","RANOHIRA, MA","2017-03-05","0.0","27.2","31.9","19.8"
"MAM00067152","RANOHIRA, MA","2017-03-06",,"28.9","31.9","20.0"
"MAM00067152","RANOHIRA, MA","2017-03-07",,"25.8","31.7","21.2"
"MAM00067152","RANOHIRA, MA","2017-03-08",,"23.7","30.0","21.0"
"MAM00067152","RANOHIRA, MA","2017-03-09","7.1","19.9","27.5",
"MAM00067152","RANOHIRA, MA","2017-03-10","20.1","21.7","24.2","18.3"
"MAM00067152","RANOHIRA, MA","2017-03-11","6.1","21.4",,"18.0"
"MAM00067152","RANOHIRA, MA","2017-03-12","0.0","22.7","28.3","18.0"
