"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-03","7.9",",,S","24.3","H,,S","30.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-04","11.9",",,S","21.6","H,,S","29.9",",,S","18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-05","2.0",",,S","22.4","H,,S","28.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-06","11.9",",,S","22.8","H,,S","28.0",",,S","19.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-07","13.0",",,S","23.5","H,,S","28.2",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-08","0.5",",,S","24.5","H,,S","29.9",",,S","20.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-09","0.5",",,S","23.6","H,,S","29.9",",,S","20.5",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-10","17.0",",,S","24.7","H,,S",,,"19.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-11","6.1",",,S","25.4","H,,S","30.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-12","0.0",",,S","26.1","H,,S","30.2",",,S","19.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-13",,,"24.7","H,,S","30.5",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-14",,,"23.6","H,,S","30.5",",,S","19.5",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-15",,,"25.8","H,,S","30.9",",,S","21.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-16",,,"26.2","H,,S","31.2",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-17","2.0",",,S","26.3","H,,S","31.2",",,S","21.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-18","0.0",",,S","24.9","H,,S","31.0",",,S","20.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-19","7.1",",,S","26.2","H,,S","31.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-20","0.0",",,S","25.6","H,,S",,,"20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-21","0.0",",,S","24.3","H,,S","31.4",",,S","21.1",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-22","0.8",",,S","26.1","H,,S","31.2",",,S","19.3",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-23","0.0",",,S","24.1","H,,S","31.2",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-24",,,"29.5","H,,S","32.2",",,S","19.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-25",,,"24.6","H,,S","32.2",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-01-30","4.1",",,S","28.2","H,,S",,,,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-09","2.0",",,S","24.2","H,,S","32.8",",,S","21.7",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-12","65.0",",,S","22.6","H,,S","30.6",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-13","24.9",",,S","22.6","H,,S","28.3",",,S","19.6",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-14","0.0",",,S","24.5","H,,S",,,"21.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-15","1.0",",,S","23.1","H,,S",,,"19.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-16","0.0",",,S","26.6","H,,S",,,,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-17","6.1",",,S","23.7","H,,S","31.9",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-19",,,"23.6","H,,S",,,"18.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-20",,,"21.3","H,,S","27.4",",,S","18.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-21",,,"23.8","H,,S","29.4",",,S","18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-22","1.0",",,S","25.3","H,,S","29.4",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-23","5.1",",,S","25.0","H,,S","30.3",",,S","20.3",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-24","13.0",",,S","26.0","H,,S","30.6",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-25","0.0",",,S","22.8","H,,S","30.6",",,S","20.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-26",,,"24.4","H,,S","30.2",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-27","4.1",",,S","24.6","H,,S","30.0",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-02-28","0.0",",,S","24.7","H,,S","31.3",",,S","21.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-01","15.0",",,S","24.1","H,,S","31.0",",,S","20.7",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-02","25.9",",,S","27.7","H,,S",,,"19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-03","0.0",",,S","24.2","H,,S",,,"20.1",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-04","38.1",",,S","25.1","H,,S","31.6",",,S","19.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-05","0.0",",,S","27.2","H,,S","31.9",",,S","19.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-06",,,"28.9","H,,S","31.9",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-07",,,"25.8","H,,S","31.7",",,S","21.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-08",,,"23.7","H,,S","30.0",",,S","21.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-09","7.1",",,S","19.9","H,,S","27.5",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-10","20.1",",,S","21.7","H,,S","24.2",",,S","18.3",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-11","6.1",",,S","21.4","H,,S",,,"18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-12","0.0",",,S","22.7","H,,S","28.3",",,S","18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-13","0.0",",,S","22.9","H,,S","28.3",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-16",,,"26.1","H,,S",,,"18.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-17",,,"24.8","H,,S","32.1",",,S","20.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-18",,,"24.4","H,,S","30.2",",,S","20.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-19",,,"25.5","H,,S","30.4",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-20",,,"25.2","H,,S","30.4",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-21",,,"25.1","H,,S","30.2",",,S","19.5",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-22",,,"24.9","H,,S","30.2",",,S","19.7",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-24",,,"24.4","H,,S","30.9",",,S","18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-25",,,"28.9","H,,S","30.9",",,S","19.6",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-26",,,"22.8","H,,S","31.0",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-27",,,"23.8","H,,S","29.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-28","0.0",",,S","24.7","H,,S",,,"20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-29","14.0",",,S","24.4","H,,S","32.2",",,S","20.2",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-30","0.3",",,S","23.4","H,,S","29.9",",,S","18.9",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-03-31","0.0",",,S","23.2","H,,S","29.0",",,S","17.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-01",,,"25.6","H,,S","29.0",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-02",,,"24.6","H,,S","29.0",",,S","20.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-03","20.1",",,S","24.6","H,,S","29.8",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-04","0.0",",,S","24.6","H,,S","29.8",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-05",,,"24.4","H,,S","29.9",",,S","19.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-06",,,"23.2","H,,S",,,"18.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-07",,,"25.4","H,,S","30.2",",,S","17.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-08",,,"27.3","H,,S","30.2",",,S","19.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-09",,,"23.4","H,,S","30.2",",,S","18.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-10",,,"23.0","H,,S","29.6",",,S","17.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-11",,,"23.9","H,,S","28.6",",,S","17.7",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-12",,,"23.7","H,,S","30.0",",,S","17.4",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-13",,,"24.6","H,,S","30.2",",,S","18.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-14",,,"25.3","H,,S","30.2",",,S","18.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-15",,,"25.6","H,,S","31.0",",,S","18.9",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-16",,,"23.3","H,,S","31.0",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-17",,,"23.6","H,,S","30.0",",,S","20.0",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-18","5.1",",,S","22.1","H,,S","30.0",",,S","18.8",",,S"
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-19","7.1",",,S","21.4","H,,S","26.8",",,S",,
"MAM00067152","RANOHIRA, MA","-22.55","45.4","824.0","2017-04-20","0.0",",,S","20.9","H,,S","27.2",",,S","15.8",",,S"
