date;pneumonic;bubonic;unknown;septisemic
01/08/17;0;1;0;0
02/08/17;0;0;0;0
03/08/17;0;0;0;0
04/08/17;0;0;0;0
05/08/17;0;0;0;0
06/08/17;0;0;0;0
07/08/17;0;0;0;0
08/08/17;0;0;0;0
09/08/17;0;0;0;0
10/08/17;0;0;0;0
11/08/17;0;0;0;0
12/08/17;0;0;0;0
13/08/17;0;1;0;0
14/08/17;0;0;0;0
15/08/17;0;0;0;0
16/08/17;0;0;0;0
17/08/17;0;0;0;0
18/08/17;0;0;0;0
19/08/17;0;0;0;0
20/08/17;1;1;0;0
21/08/17;0;0;0;0
22/08/17;0;0;0;0
23/08/17;1;0;0;0
24/08/17;0;0;0;0
25/08/17;0;0;0;0
26/08/17;1;1;0;0
27/08/17;0;1;0;0
28/08/17;1;3;0;0
29/08/17;1;0;0;0
30/08/17;0;1;0;0
31/08/17;0;0;0;0
01/09/17;2;0;0;0
02/09/17;1;1;0;0
03/09/17;2;0;0;0
04/09/17;0;2;0;0
05/09/17;2;0;0;0
06/09/17;1;0;0;0
07/09/17;2;2;0;0
08/09/17;1;4;1;0
09/09/17;1;2;0;0
10/09/17;1;3;0;0
11/09/17;3;3;1;0
12/09/17;11;2;0;0
13/09/17;6;1;0;0
14/09/17;5;1;0;1
15/09/17;4;5;0;0
16/09/17;0;0;1;0
17/09/17;7;1;0;0
18/09/17;1;3;1;0
19/09/17;1;6;0;0
20/09/17;2;4;0;0
21/09/17;2;3;1;0
22/09/17;0;0;0;0
23/09/17;3;2;0;0
24/09/17;6;0;0;0
25/09/17;2;3;0;0
26/09/17;5;1;0;0
27/09/17;9;1;1;0
28/09/17;8;3;0;0
29/09/17;19;9;0;0
30/09/17;25;8;1;0
01/10/17;38;5;2;0
02/10/17;50;10;3;0
03/10/17;60;8;0;0
04/10/17;53;8;0;0
05/10/17;47;11;1;0
06/10/17;57;8;2;0
07/10/17;59;13;1;0
08/10/17;58;10;2;0
09/10/17;55;13;2;0
10/10/17;62;14;3;0
11/10/17;56;11;1;0
12/10/17;45;10;0;0
13/10/17;57;14;2;0
14/10/17;38;10;0;0
15/10/17;52;5;2;0
16/10/17;36;4;2;0
17/10/17;57;5;3;0
18/10/17;38;5;0;0
19/10/17;28;2;1;0
20/10/17;26;8;0;0
21/10/17;36;3;0;0
22/10/17;26;1;1;0
23/10/17;41;3;1;0
24/10/17;37;5;0;0
25/10/17;26;3;2;0
26/10/17;27;6;0;0
27/10/17;28;4;1;0
28/10/17;15;3;1;0
29/10/17;12;2;3;0
30/10/17;27;5;1;0
31/10/17;8;3;0;0
01/11/17;29;2;3;0
02/11/17;15;2;2;0
03/11/17;19;0;0;0
04/11/17;18;1;1;0
05/11/17;23;2;0;0
06/11/17;17;0;1;0
07/11/17;15;6;0;0
08/11/17;16;2;0;0
09/11/17;21;4;0;0
10/11/17;10;2;1;0
11/11/17;8;1;0;0
12/11/17;7;2;0;0
13/11/17;16;0;0;0
14/11/17;5;1;0;0
15/11/17;13;1;0;0
16/11/17;13;2;1;0
17/11/17;8;2;0;0
18/11/17;8;3;0;0
19/11/17;13;1;0;0
20/11/17;12;0;0;0
21/11/17;8;0;0;0
22/11/17;8;2;0;0
23/11/17;6;0;1;0
24/11/17;1;0;1;0
25/11/17;1;0;0;0
26/11/17;0;0;0;0
